trip_id,arrival_time,departure_time,stop_id,stop_sequence,drop_off_type,pickup_type
9008-0618,11:19:00,11:19:00,paris_nord,2,0,1
9008-0619,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0619,11:19:00,11:19:00,paris_nord,2,0,1
9008-0620,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0620,11:19:00,11:19:00,paris_nord,2,0,1
9008-0622,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0622,11:20:00,11:20:00,paris_nord,2,0,1
9008-0623,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0623,11:20:00,11:20:00,paris_nord,2,0,1
9008-0624,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0624,11:20:00,11:20:00,paris_nord,2,0,1
9008-0625,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0625,11:20:00,11:20:00,paris_nord,2,0,1
9008-0626,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0626,11:20:00,11:20:00,paris_nord,2,0,1
9008-0627,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0627,11:20:00,11:20:00,paris_nord,2,0,1
9008-0628,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0628,11:20:00,11:20:00,paris_nord,2,0,1
9008-0629,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0629,11:19:00,11:19:00,paris_nord,2,0,1
9008-0630,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0630,11:19:00,11:19:00,paris_nord,2,0,1
9008-0701,09:01:00,09:01:00,st_pancras_international,1,1,0
